country,life_expectancy_female,life_expectancy_male,schooling_expected_female,schooling_expected_male,schooling_mean_female,schooling_mean_male,gni_per_capita_female,gni_per_capita_male
Congo,64.9,62.1,12.2,12.4,5.6,6.8,"2,532","3,247"
Zambia,63.9,58.5,10.9,11.0,7.2,7.2,"2,615","3,837"
Solomon Islands,72.0,68.9,10.8,9.9,,,"2,173","2,777"
Comoros,65.8,61.2,12.2,11.7,4.0,6.0,"2,014","4,260"
Papua New Guinea,68.4,62.9,9.8,10.9,4.1,5.4,"3,543","4,445"
Mauritania,66.1,62.7,9.6,9.2,4.6,5.3,"2,604","7,650"
Côte d'Ivoire,59.9,57.4,10.0,11.3,4.7,5.7,"3,763","6,643"
Tanzania (United Republic of),68.3,64.2,9.3,9.1,5.9,6.9,"2,247","3,092"
Pakistan,68.6,63.8,8.1,9.2,3.9,5.0,"1,569","7,620"
Togo,62.4,60.8,12.2,14.3,3.4,6.8,"1,885","2,446"
Haiti,66.1,60.4,9.0,10.4,4.6,6.8,"2,408","3,295"
Nigeria,53.1,52.3,9.6,10.8,6.1,8.2,"3,759","5,800"
Rwanda,68.2,63.8,11.2,11.2,4.0,4.9,"1,990","2,440"
Benin,61.4,58.2,9.9,11.6,3.3,5.4,"2,998","3,819"
Uganda,64.9,60.4,10.2,10.1,4.9,6.7,"1,877","2,492"
Lesotho,55.9,50.4,12.4,11.7,6.6,6.0,"2,107","3,310"
Malawi,66.5,59.5,12.8,12.5,4.1,4.7,"1,232","1,713"
Senegal,69.3,64.8,9.5,8.5,1.6,4.5,"2,258","4,468"
Djibouti,65.0,59.7,7.5,7.4,,,"2,179","7,911"
Sudan,67.9,62.7,7.7,8.1,3.4,4.2,"1,833","5,320"
Madagascar,66.9,62.2,10.2,10.1,4.9,5.3,"1,284","1,682"
Gambia,63.5,60.7,10.3,8.5,3.8,5.6,"1,649","2,701"
Ethiopia,68.3,61.9,9.8,9.6,2.2,4.2,"1,944","2,774"
Eritrea,68.7,64.3,7.5,8.6,,,"1,387","2,079"
Guinea-Bissau,61.8,57.4,10.0,11.2,2.4,4.9,"1,561","2,264"
Liberia,62.1,59.4,10.1,10.8,3.9,6.3,"1,062","1,518"
Congo (Democratic Republic of the),61.5,57.0,9.6,10.1,5.6,8.5,896,"1,259"
Afghanistan,65.3,58.9,7.7,12.7,2.3,3.4,533,"3,089"
Sierra Leone,61.4,58.8,9.6,9.9,3.5,5.8,"1,453","1,789"
Guinea,60.1,57.6,8.6,11.0,1.3,3.2,"2,320","2,645"
Yemen,67.1,60.6,7.7,10.5,2.9,5.1,176,"2,428"
Burkina Faso,61.0,57.5,9.1,9.2,1.6,2.7,"1,659","2,580"
Mozambique,62.4,56.2,9.8,10.7,2.4,4.1,"1,096","1,304"
Mali,60.3,57.6,6.8,7.9,2.4,2.2,"1,483","2,770"
Burundi,63.6,59.7,10.9,10.5,2.5,3.9,668,797
Central African Republic,56.3,51.6,6.7,9.4,3.1,5.6,770,"1,162"
Niger,62.8,60.4,6.3,7.6,1.7,2.8,936,"1,535"
Chad,54.3,50.8,6.6,9.5,1.5,3.7,965,"1,760"
South Sudan,56.5,53.4,4.5,6.6,4.8,6.2,664,873
Korea (Democratic People's Rep. of),75.7,70.8,10.4,11.1,,,,
Monaco,87.7,84.3,,,,,,
Nauru,67.3,60.3,13.1,10.4,,,,
Somalia,57.4,53.2,,,,,545,"1,489"
