"country","gender_inequality_index","maternal_mortality_ratio","adolescent_birth_rate","parliament_female","secondary_educ_female","secondary_educ_male","labor_force_participation_female","labor_force_participation_male","life_expectancy_female","life_expectancy_male","schooling_expected_female","schooling_expected_male","schooling_mean_female","schooling_mean_male","gni_per_capita_female","gni_per_capita_male","hdi","life_expectancy","schooling_expected","schooling_mean","gni_per_capita","std_schooling_expected"
"Myanmar",49.8,250,33,15,38.5,47.8,41,70,69,62.5,11.1,10.7,6.1,6.7,2619,5093,58.5,65.7,10.9,6.4,3851,-0.941903140221191
"Syrian Arab Republic",47.7,31,38.7,11.2,37.1,43.4,15.7,70.8,75.2,69.1,9.1,9.2,4.6,5.6,1285,7088,57.7,72.1,9.2,5.1,4192,-1.5251686373798
"Cameroon",56.5,529,110.4,31.1,36.8,55,70.2,80.7,62,58.7,12.4,13.8,4.8,7.5,2981,4264,57.6,60.3,13.1,6.2,3621,-0.187088967427693
"Kenya",50.6,342,64.2,23.2,31.1,37.7,71,75.6,64.1,58.9,10.3,11.1,6.1,7.3,3873,5084,57.5,61.4,10.7,6.7,4474,-1.01052261047515
"Congo",56.4,378,103.6,13.6,48,52,65.1,67.6,64.9,62.1,12.2,12.4,5.6,6.8,2532,3247,57.1,63.5,12.3,6.2,2889,-0.46156684844351
"Zambia",54,213,117,15.1,47.1,56.8,69.2,77.8,63.9,58.5,10.9,11,7.2,7.2,2615,3837,56.5,61.2,10.9,7.2,3218,-0.941903140221191
"Papua New Guinea",72.5,145,55.3,0,10.8,15.5,46.3,48.1,68.4,62.9,9.8,10.9,4.1,5.4,3543,4445,55.8,65.4,10.4,4.7,4009,-1.11345181585608
"Mauritania",63.2,766,78,20.3,14.5,21.9,27.4,62.2,66.1,62.7,9.6,9.2,4.6,5.3,2604,7650,55.6,64.4,9.4,4.9,5075,-1.45654916712585
"Côte d'Ivoire",61.3,617,105,15.6,23.9,32.2,45.9,64.9,59.9,57.4,10,11.3,4.7,5.7,3763,6643,55,58.6,10.7,5.2,5217,-1.01052261047515
"Tanzania (United Republic of)",56,524,123.7,36.9,13,19.1,79.5,87.1,68.3,64.2,9.3,9.1,5.9,6.9,2247,3092,54.9,66.2,9.2,6.4,2664,-1.5251686373798
"Pakistan",53.4,140,42.3,19.9,22.1,28.7,20.7,78.1,68.6,63.8,8.1,9.2,3.9,5,1569,7620,54.4,66.1,8.7,4.5,4624,-1.69671731301469
"Togo",58,396,77.9,18.7,13.9,42.3,55.5,59.4,62.4,60.8,12.2,14.3,3.4,6.8,1885,2446,53.9,61.6,13,5,2167,-0.22139870255467
"Haiti",63.5,480,52.5,2.7,27.9,41,60.7,68.9,66.1,60.4,9,10.4,4.6,6.8,2408,3295,53.5,63.2,9.7,5.6,2848,-1.35361996174492
"Nigeria",68,917,101.7,4.5,40.4,55.3,47.9,59.6,53.1,52.3,9.6,10.8,6.1,8.2,3759,5800,53.5,52.7,10.1,7.2,4790,-1.21638102123701
"Rwanda",38.8,248,32.4,55.7,11.4,16.3,82.5,82.2,68.2,63.8,11.2,11.2,4,4.9,1990,2440,53.4,66.1,11.2,4.4,2210,-0.83897393484026
"Benin",60.2,397,92.3,8.4,21.1,34.4,69.3,72.6,61.4,58.2,9.9,11.6,3.3,5.4,2998,3819,52.5,59.8,10.8,4.3,3409,-0.976212875348168
"Uganda",53,375,107.9,33.8,29.3,36.3,64.2,71.3,64.9,60.4,10.2,10.1,4.9,6.7,1877,2492,52.5,62.7,10.1,5.7,2181,-1.21638102123701
"Lesotho",55.7,544,89.6,22.9,27.2,24.6,56.1,71.3,55.9,50.4,12.4,11.7,6.6,6,2107,3310,51.4,53.1,12,6,2700,-0.564496053824442
"Malawi",55.4,349,117.9,22.9,21.3,28.4,71.6,80,66.5,59.5,12.8,12.5,4.1,4.7,1232,1713,51.2,62.9,12.7,4.5,1466,-0.324327907935602
"Senegal",53,315,66.5,43,11.1,30.9,33.5,56.7,69.3,64.8,9.5,8.5,1.6,4.5,2258,4468,51.1,67.1,9,2.9,3344,-1.59378810763376
"Sudan",55.3,295,79.9,31,16.4,20.1,28.7,67.8,67.9,62.7,7.7,8.1,3.4,4.2,1833,5320,50.8,65.3,7.9,3.8,3575,-1.97119519403051
"Madagascar",55.6,335,119.4,17.2,27.3,29.8,81.5,87.6,66.9,62.2,10.2,10.1,4.9,5.3,1284,1682,50.1,64.5,10.1,5.1,1484,-1.21638102123701
"Gambia",61.1,597,63.2,8.6,29.9,43.2,48.9,66.3,63.5,60.7,10.3,8.5,3.8,5.6,1649,2701,50,62.1,9.4,4.6,2172,-1.45654916712585
"Ethiopia",52,401,69.2,39.5,9.1,20.1,72.3,84.7,68.3,61.9,9.8,9.6,2.2,4.2,1944,2774,49.8,65,9.7,3.2,2361,-1.35361996174492
"Guinea-Bissau",62.7,667,87.5,13.7,9.8,22.8,63.9,78.4,61.8,57.4,10,11.2,2.4,4.9,1561,2264,48.3,59.7,10.6,3.6,1908,-1.04483234560212
"Liberia",64.8,661,123.4,9.7,20.8,39.2,69.8,79.7,62.1,59.4,10.1,10.8,3.9,6.3,1062,1518,48.1,60.7,10.4,5.1,1289,-1.11345181585608
"Congo (Democratic Republic of the)",60.1,473,109,14.3,40.3,69.1,61.2,69.1,61.5,57,9.6,10.1,5.6,8.5,896,1259,47.9,59.2,9.8,7,1076,-1.31931022661794
"Afghanistan",67.8,638,82.6,27.2,6.4,14.9,14.8,66.5,65.3,58.9,7.7,12.7,2.3,3.4,533,3089,47.8,62,10.3,3,1824,-1.14776155098305
"Sierra Leone",63.3,1120,100.9,12.3,34.7,51.5,56.1,55.9,61.4,58.8,9.6,9.9,3.5,5.8,1453,1789,47.7,60.1,9.6,4.6,1622,-1.38792969687189
"Guinea",62.1,576,114.8,16.7,7.2,19.7,62.1,62.2,60.1,57.6,8.6,11,1.3,3.2,2320,2645,46.5,58.9,9.8,2.2,2481,-1.31931022661794
"Yemen",82,164,54.4,0.3,22.4,37.5,6,67.6,67.1,60.6,7.7,10.5,2.9,5.1,176,2428,45.5,63.8,9.1,3.2,1314,-1.55947837250678
"Burkina Faso",62.1,320,110.5,6.3,11.3,17.1,57.2,72.7,61,57.5,9.1,9.2,1.6,2.7,1659,2580,44.9,59.3,9.1,2.1,2118,-1.55947837250678
"Mozambique",53.7,289,165.8,42.4,10.8,20.2,77.7,78.9,62.4,56.2,9.8,10.7,2.4,4.1,1096,1304,44.6,59.3,10.2,3.2,1198,-1.18207128611003
"Mali",61.3,562,150.1,27.3,8,15.5,57.7,79.7,60.3,57.6,6.8,7.9,2.4,2.2,1483,2770,42.8,58.9,7.4,2.3,2133,-2.14274386966539
"Burundi",50.5,548,53.6,38.9,7.8,13,79,77.4,63.6,59.7,10.9,10.5,2.5,3.9,668,797,42.6,61.7,10.7,3.1,732,-1.01052261047515
"Central African Republic",67.2,829,160.5,12.9,13.9,31.6,63.3,79.5,56.3,51.6,6.7,9.4,3.1,5.6,770,1162,40.4,53.9,8,4.3,966,-1.93688545890353
"Niger",61.1,509,170.5,25.9,9.2,15.2,61.7,84.3,62.8,60.4,6.3,7.6,1.7,2.8,936,1535,40,61.6,7,2.1,1240,-2.2799828101733
"Chad",65.2,1140,138.3,32.3,7.7,24.4,46.9,69.9,54.3,50.8,6.6,9.5,1.5,3.7,965,1760,39.4,52.5,8,2.6,1364,-1.93688545890353
"South Sudan",58.7,1150,99.2,32.3,26.5,36.4,70.4,73.6,56.5,53.4,4.5,6.6,4.8,6.2,664,873,38.5,55,5.5,5.7,768,-2.79462883707796
