"cz_id","cz_name","state","population_2000","mobility","urban","frac_black","racial_seg","income_seg","poverty_seg","affluence_seg","commute15min","hh_income","gini","top1pc_share","local_tax_rate","local_govt_expenditures","school_expenditures_per_student","test_score_percentile_adj","hs_dropout_rate_adj","number_of_colleges","college_grad_rate_adj","labor_force_participation_rate","manufacturing_employment_share","migration_inflow","migration_outflow","frac_foreign_born","social_capital_index","frac_religion","violent_crime_rate","frac_children_single_mothers","frac_adults_divorced","frac_adults_married","income_growth_06_10","drop_this_column","cz_state"
26503,"Sioux Falls","SD",200630,49.4,1,0.012,0.082,0.076,0.063,0.087,0.439,36624,0.387,13.17,0.028,1707,5.132,-0.6,-0.004,0.04,0.023,0.742,0.119,0.026,0.019,0.034,1.629,0.643,0.001,0.181,0.089,0.563,0.001,NA,"Sioux Falls, SD"
32202,"Nacogdoches","TX",103842,43.4,0,0.175,0.141,0.039,0.037,0.042,0.439,28783,0.508,13.012,0.019,1749,5.958,1.487,-0.01,0.01,0.094,0.565,0.147,0.019,0.019,0.053,-1.496,0.579,0.003,0.228,0.088,0.555,-0.012,NA,"Nacogdoches, TX"
30903,"Amarillo","TX",240752,42.8,1,0.053,0.223,0.079,0.063,0.099,0.438,33188,0.51,15.757,0.023,2112,5.09,2.695,-0.005,0.008,-0.114,0.645,0.1,0.022,0.019,0.066,-0.469,0.701,0.002,0.22,0.107,0.583,-0.004,NA,"Amarillo, TX"
34501,"Bonners Ferry","ID",9871,46.2,0,0.001,0.011,0.003,0.002,0,0.438,28983,0.383,10.362,0.016,2032,4.668,4.734,0.031,NA,NA,0.588,0.144,0.017,0.018,0.029,-0.295,0.358,0.001,0.156,0.11,0.616,-0.011,NA,"Bonners Ferry, ID"
4103,"El Dorado","AR",89373,37.6,0,0.344,0.093,0.022,0.023,0.023,0.437,30514,0.449,9.389,0.013,1390,4.725,-9.728,0.005,0.022,-0.069,0.562,0.272,0.009,0.013,0.01,-0.212,0.672,0.002,0.27,0.106,0.555,-0.011,NA,"El Dorado, AR"
10502,"Starkville","MS",105093,36.8,0,0.401,0.077,0.015,0.016,0.012,0.437,26131,0.486,9.504,0.012,1979,4.802,-14.345,0.007,0.029,0.286,0.583,0.232,0.011,0.015,0.017,-0.427,0.545,0.001,0.318,0.079,0.479,-0.008,NA,"Starkville, MS"
13502,"Defiance","OH",98981,43.7,0,0.011,0.081,0.015,0.013,0.019,0.437,35188,0.315,11.039,0.02,1798,5.048,13.318,NA,0.01,0.055,0.679,0.422,0.012,0.015,0.011,0.929,0.52,0,0.175,0.1,0.602,-0.012,NA,"Defiance, OH"
26002,"Duluth","MN",286544,44.9,1,0.008,0.098,0.061,0.064,0.056,0.437,34404,0.322,7.461,0.021,3445,6.838,7.505,0.004,0.031,0.053,0.628,0.091,0.011,0.012,0.018,2.081,0.533,0.001,0.218,0.104,0.545,0.003,NA,"Duluth, MN"
29504,"Sedalia","MO",88232,43.2,0,0.016,0.104,0.019,0.019,0.019,0.437,31289,0.37,8.315,0.014,2237,4.665,-2.015,-0.007,0.011,-0.115,0.592,0.202,0.021,0.018,0.017,0.7,0.578,0.001,0.203,0.116,0.602,-0.006,NA,"Sedalia, MO"
25701,"Cape Girardeau","MO",184036,41.4,1,0.075,0.203,0.042,0.044,0.038,0.436,30141,0.453,11.114,0.016,1658,4.671,-3.501,0.017,0.016,0.16,0.63,0.179,0.009,0.01,0.008,0.344,0.536,0.001,0.225,0.101,0.576,-0.002,NA,"Cape Girardeau, MO"
4701,"Greenwood","MS",84168,35.6,0,0.527,0.223,0.045,0.043,0.047,0.435,25756,0.539,13.772,0.016,2172,4.481,-17.145,0.042,0.012,0.03,0.547,0.228,0.008,0.013,0.009,-0.764,0.474,0.002,0.381,0.087,0.468,-0.014,NA,"Greenwood, MS"
26902,"Little Falls","MN",69851,52,0,0.002,0.058,0.014,0.013,0.015,0.435,31851,0.308,6.947,0.017,2770,7.227,7.154,-0.019,NA,NA,0.643,0.195,0.023,0.021,0.013,1.556,0.667,0.001,0.145,0.079,0.602,0.006,NA,"Little Falls, MN"
28101,"Lincoln","NE",311956,45.5,1,0.023,0.094,0.095,0.088,0.109,0.434,35973,0.376,14.437,0.027,2960,6.915,-1.788,0.012,0.022,0.082,0.72,0.131,0.02,0.021,0.048,1.659,0.496,0.001,0.187,0.09,0.537,-0.004,NA,"Lincoln, NE"
20301,"Berlin","VT",95549,44.8,0,0.002,0.018,0.014,0.016,0.013,0.433,31204,0.38,10.699,0.032,1842,7.825,3.676,NA,NA,-0.024,0.64,0.193,0.016,0.012,0.04,0.509,0.488,0,0.208,0.112,0.571,0.003,NA,"Berlin, VT"
