"cz_id","cz_name","state","population_2000","mobility","urban","frac_black","racial_seg","income_seg","poverty_seg","affluence_seg","commute15min","hh_income","gini","top1pc_share","local_tax_rate","local_govt_expenditures","school_expenditures_per_student","test_score_percentile_adj","hs_dropout_rate_adj","number_of_colleges","college_grad_rate_adj","labor_force_participation_rate","manufacturing_employment_share","migration_inflow","migration_outflow","frac_foreign_born","social_capital_index","frac_religion","violent_crime_rate","frac_children_single_mothers","frac_adults_divorced","frac_adults_married","income_growth_06_10","drop_this_column","cz_state"
29503,"St. Joseph","MO",158300,43.3,1,0.033,0.088,0.034,0.029,0.037,0.406,32194,0.366,8.984,0.018,1386,5.093,-0.567,-0.015,0.019,-0.086,0.614,0.158,0.014,0.015,0.009,0.698,0.538,0.001,0.204,0.116,0.562,-0.005,NA,"St. Joseph, MO"
13700,"Concord","IN",372184,42.2,1,0.033,0.176,0.027,0.027,0.024,0.405,35487,0.395,15.141,0.021,2052,6.437,-4.199,NA,0.005,0.051,0.686,0.421,0.019,0.019,0.052,-0.043,0.36,0.001,0.18,0.105,0.59,-0.017,NA,"Concord, IN"
17800,"Oneonta","NY",161132,44.6,0,0.012,0.053,0.012,0.014,0.008,0.405,31398,0.374,7.377,0.037,2714,9.284,3.69,-0.021,0.025,0.151,0.61,0.152,0.014,0.012,0.025,0.102,0.377,0.002,0.199,0.09,0.553,0.005,NA,"Oneonta, NY"
26105,"Polk","MO",12442,47.7,0,0.001,0.171,0.009,0.003,0.002,0.405,28324,0.312,6.607,0.013,1509,5.69,-3.398,-0.026,NA,NA,0.59,0.25,0.008,0.012,0.036,0.206,0.47,0.001,0.167,0.102,0.61,-0.001,NA,"Polk, MO"
4601,"Campbellsville","KY",83451,41.9,0,0.024,0.067,0.01,0.007,0.01,0.404,26923,0.394,8.527,0.009,1624,5.746,0.819,0.006,0.024,0.049,0.571,0.232,0.006,0.006,0.01,-0.499,0.637,0.001,0.191,0.11,0.605,-0.01,NA,"Campbellsville, KY"
14300,"Columbus","IN",163284,39.7,1,0.01,0.077,0.048,0.038,0.061,0.404,35466,0.381,12.38,0.02,2590,6.341,0.477,NA,0.012,-0.302,0.671,0.345,0.015,0.015,0.024,0.535,0.5,0.002,0.175,0.116,0.625,-0.006,NA,"Columbus, IN"
30000,"Russellville","AR",138646,42.7,0,0.017,0.108,0.021,0.013,0.035,0.404,28758,0.444,10.927,0.011,1303,4.529,4.951,0.011,0.014,0.083,0.595,0.252,0.01,0.013,0.033,-0.927,0.535,0.001,0.176,0.106,0.615,-0.013,NA,"Russellville, AR"
16000,"Mansfield","OH",326186,40.4,1,0.051,0.231,0.041,0.04,0.041,0.403,33186,0.335,7.903,0.022,1713,5.248,4.968,NA,0.015,-0.016,0.622,0.283,0.013,0.013,0.012,0.992,0.395,0.001,0.206,0.113,0.572,-0.011,NA,"Mansfield, OH"
20001,"Bangor","ME",289843,41.8,1,0.003,0.065,0.028,0.027,0.03,0.403,32900,0.397,8.898,0.027,1720,6.669,3.767,-0.007,0.024,0.141,0.635,0.121,0.014,0.013,0.023,0.392,0.292,0.001,0.207,0.118,0.561,0,NA,"Bangor, ME"
25300,"Union City","TN",117387,39.8,0,0.081,0.124,0.016,0.016,0.014,0.403,30330,0.391,7.44,0.013,1641,5.136,3.748,-0.009,0.017,0.101,0.588,0.28,0.013,0.014,0.017,-0.11,0.713,0.001,0.209,0.1,0.587,-0.008,NA,"Union City, TN"
25200,"Henderson","KY",151629,43.1,1,0.065,0.104,0.033,0.029,0.034,0.401,31361,0.381,7.515,0.011,1604,5.944,-2.106,0.001,0.013,-0.024,0.59,0.224,0.007,0.01,0.009,0.128,0.651,0.001,0.208,0.109,0.609,-0.008,NA,"Henderson, KY"
25702,"Poplar Bluff","MO",73576,41.1,0,0.029,0.112,0.032,0.027,0.031,0.401,28334,0.456,9.572,0.011,1175,4.817,-4.995,0.011,0.014,-0.114,0.534,0.204,0.012,0.009,0.011,-0.443,0.338,0.002,0.214,0.119,0.594,-0.009,NA,"Poplar Bluff, MO"
24400,"Rockford","IL",622573,41.5,1,0.064,0.205,0.076,0.074,0.076,0.4,37848,0.343,8.898,0.021,1783,5.363,-1.328,0.008,0.016,-0.039,0.667,0.254,0.023,0.015,0.05,0.663,0.529,0.002,0.2,0.1,0.571,-0.011,NA,"Rockford, IL"
33500,"Texarkana","TX",235988,40.9,1,0.201,0.163,0.039,0.034,0.041,0.399,31309,0.458,10.247,0.02,1876,5.48,4.345,-0.003,0.008,-0.207,0.563,0.163,0.012,0.012,0.039,-0.856,0.657,0.003,0.252,0.105,0.579,-0.007,NA,"Texarkana, TX"
8702,"Statesboro","GA",111346,36.2,0,0.325,0.055,0.043,0.051,0.036,0.398,26439,0.492,9.041,0.019,2080,5.27,-0.486,0.03,0.036,0.056,0.586,0.182,0.016,0.014,0.029,-2.244,0.404,0.002,0.279,0.086,0.473,-0.022,NA,"Statesboro, GA"
21400,"St. Cloud","MN",254139,51,1,0.008,0.094,0.056,0.06,0.053,0.398,35324,0.318,9.355,0.023,2480,6.503,6.546,-0.013,0.02,0.106,0.732,0.191,0.038,0.026,0.019,0.717,0.611,0.001,0.143,0.071,0.569,-0.001,NA,"St. Cloud, MN"
14600,"Bloomington","IN",280923,41.2,1,0.014,0.105,0.063,0.07,0.058,0.397,30525,0.394,10.999,0.018,1620,6.01,1.814,NA,0.007,0.264,0.634,0.181,0.015,0.017,0.029,0.043,0.402,0.001,0.18,0.102,0.523,-0.01,NA,"Bloomington, IN"
16100,"State College","PA",310658,47.5,1,0.023,0.195,0.055,0.054,0.058,0.397,28923,0.373,8.759,0.02,1367,6.981,6.352,-0.013,0.019,0.432,0.582,0.159,0.013,0.015,0.029,0.295,0.464,0.001,0.153,0.071,0.528,-0.002,NA,"State College, PA"
29204,"Topeka","KS",324513,42.2,1,0.059,0.128,0.087,0.083,0.092,0.397,35816,0.37,9.003,0.025,2006,6.66,4.064,-0.006,0.018,0.143,0.683,0.095,0.019,0.02,0.031,1.13,0.397,0,0.216,0.107,0.533,-0.003,NA,"Topeka, KS"
4102,"Pine Bluff","AR",168122,36.6,1,0.421,0.238,0.046,0.042,0.048,0.396,27099,0.454,8.256,0.015,1370,5.002,-15.882,0.009,0.018,-0.041,0.548,0.209,0.007,0.013,0.016,-0.923,0.525,0.003,0.317,0.107,0.521,-0.009,NA,"Pine Bluff, AR"
18700,"Sunbury","PA",191962,47.9,1,0.023,0.169,0.043,0.04,0.044,0.396,30863,0.359,9.138,0.017,1426,6.516,5.346,-0.007,0.016,0.473,0.572,0.221,0.009,0.01,0.018,0.692,0.521,0.002,0.171,0.079,0.592,-0.002,NA,"Sunbury, PA"
23900,"Peoria","IL",529703,42.4,1,0.061,0.27,0.057,0.056,0.055,0.394,38842,0.368,10.056,0.018,1715,4.831,4.328,0.011,0.009,0.032,0.639,0.191,0.014,0.012,0.022,0.946,0.52,0.002,0.203,0.097,0.584,0.001,NA,"Peoria, IL"
3902,"Lake Providence","LA",21735,40.5,0,0.396,0.266,0.024,0.023,0.025,0.393,21037,0.461,8.917,0.027,1946,4.4,-5.451,0.055,NA,NA,0.477,0.096,0.008,0.013,0.006,-0.426,0.608,0.003,0.317,0.076,0.541,0.018,NA,"Lake Providence, LA"
19903,"Chincoteague","VA",51398,38.5,0,0.343,0.084,0.007,0.003,0.009,0.393,31562,0.477,11.521,0.02,1947,5.638,5.172,0.023,0.019,-0.059,0.586,0.164,0.006,0.009,0.04,-0.453,0.339,0.002,0.293,0.085,0.536,0.012,NA,"Chincoteague, VA"
23801,"Davenport","IL",382351,43.6,1,0.055,0.164,0.058,0.051,0.061,0.393,37759,0.37,9.948,0.021,1921,5.271,0.599,-0.001,0.024,0.012,0.664,0.179,0.01,0.011,0.033,0.735,0.508,0.005,0.226,0.108,0.562,0,NA,"Davenport, IL"
25101,"Mountain Home","AR",64068,43.7,0,0.001,0.007,0.005,0.006,0.002,0.393,32623,0.464,12.33,0.012,992,4.895,5.828,-0.007,0.016,0.029,0.499,0.225,0.014,0.013,0.013,-0.44,0.433,0.001,0.19,0.104,0.653,0.002,NA,"Mountain Home, AR"
9001,"Vidalia","GA",108438,38.3,0,0.26,0.08,0.01,0.01,0.009,0.391,26104,0.483,9.534,0.022,1837,5.256,-1.667,0.027,0.018,0.016,0.559,0.194,0.006,0.009,0.033,-1.649,0.588,0.002,0.249,0.104,0.557,-0.018,NA,"Vidalia, GA"
14400,"Terre Haute","IN",261832,42.3,1,0.035,0.155,0.042,0.043,0.038,0.391,31382,0.367,8.691,0.02,1875,6.45,-0.317,NA,0.027,0.092,0.61,0.202,0.013,0.015,0.013,0.611,0.366,0.002,0.197,0.113,0.566,-0.011,NA,"Terre Haute, IN"
16200,"Altoona","PA",411749,47.1,1,0.017,0.163,0.038,0.042,0.034,0.391,30392,0.371,9.835,0.018,1550,7.147,7.231,-0.015,0.017,0.241,0.57,0.154,0.006,0.008,0.01,0.938,0.65,0.001,0.177,0.078,0.564,0.003,NA,"Altoona, PA"
10101,"Bainbridge","GA",43992,37.5,0,0.37,0.082,0.016,0.009,0.014,0.39,29034,0.516,11.659,0.019,1876,5.082,NA,0.04,0.023,-0.196,0.577,0.21,0.01,0.013,0.018,-2.109,0.481,0.003,0.311,0.109,0.522,-0.007,NA,"Bainbridge, GA"
11002,"Atmore","AL",76853,39.2,0,0.359,0.134,0.022,0.023,0.021,0.39,27015,0.493,11.466,0.01,1419,4.63,-16.944,0.004,0.039,-0.026,0.528,0.254,0.011,0.017,0.005,-1.186,0.508,0.003,0.277,0.111,0.536,-0.016,NA,"Atmore, AL"
33200,"Paris","TX",185835,41.4,1,0.105,0.129,0.037,0.039,0.037,0.39,32552,0.418,9.075,0.021,1969,6.042,5.65,-0.014,0.011,-0.088,0.602,0.187,0.028,0.025,0.038,-0.884,0.592,0.003,0.212,0.107,0.597,-0.01,NA,"Paris, TX"
10102,"Thomasville","GA",66396,36.3,0,0.355,0.098,0.02,0.022,0.017,0.389,29591,0.571,13.908,0.018,2160,5.375,-5.13,0.018,0.03,0.098,0.596,0.18,0.017,0.012,0.024,-1.75,0.538,0.002,0.301,0.111,0.528,-0.001,NA,"Thomasville, GA"
10301,"Eufaula","GA",61458,35.2,0,0.502,0.041,0.02,0.018,0.017,0.388,25284,0.524,11.334,0.018,1931,5.587,-17.626,0.01,0.016,-0.048,0.497,0.256,0.01,0.016,0.013,-1.448,0.416,0.002,0.369,0.092,0.474,-0.021,NA,"Eufaula, GA"
16701,"Elkins","WV",60271,44.8,0,0.007,0.05,0.009,0.008,0.006,0.388,26302,0.391,8.336,0.009,1400,5.979,-6.483,-0.017,0.033,0.152,0.539,0.118,0.005,0.005,0.006,-0.342,0.357,0.001,0.168,0.112,0.58,-0.001,NA,"Elkins, WV"
28800,"Fort Collins","CO",459601,45.2,1,0.005,0.123,0.08,0.077,0.081,0.388,37523,0.398,10.663,0.029,3164,5.458,0.13,NA,0.009,0.129,0.701,0.146,0.04,0.03,0.068,-0.078,0.394,0.001,0.165,0.093,0.567,-0.002,NA,"Fort Collins, CO"
30200,"Muskogee","OK",152466,41,0,0.068,0.113,0.025,0.021,0.027,0.388,27011,0.476,14.553,0.014,2018,5.189,-4.951,0.004,0.02,-0.094,0.56,0.155,0.019,0.02,0.018,-0.712,0.507,0.002,0.231,0.117,0.575,-0.014,NA,"Muskogee, OK"
35300,"Farmington","NM",168198,41.7,1,0.003,0.298,0.047,0.043,0.047,0.388,30450,0.44,10.796,0.028,2775,5.098,-8.531,0.005,0.012,-0.135,0.631,0.039,0.046,0.043,0.025,-0.994,0.401,0.002,0.21,0.108,0.546,0.006,NA,"Farmington, NM"
2100,"Washington","NC",124216,37.5,0,0.288,0.158,0.037,0.042,0.029,0.387,32919,0.475,11.065,0.025,2823,5.723,-0.067,0.026,0.016,-0.084,0.594,0.162,0.013,0.016,0.022,-1.066,0.466,0.002,0.262,0.085,0.57,0.003,NA,"Washington, NC"
13200,"Owensboro","KY",177640,43.3,1,0.033,0.117,0.049,0.046,0.053,0.387,31538,0.387,9.513,0.013,2194,6.026,9.696,-0.015,0.023,-0.039,0.602,0.218,0.007,0.008,0.009,0.473,0.698,0.001,0.192,0.107,0.603,-0.008,NA,"Owensboro, KY"
31700,"Corpus Christi","TX",503493,44.1,1,0.033,0.191,0.075,0.071,0.077,0.387,30127,0.528,13.484,0.033,2263,5.918,-2.187,0.007,0.006,-0.061,0.596,0.073,0.02,0.022,0.057,-1.032,0.545,0.002,0.229,0.107,0.542,0.002,NA,"Corpus Christi, TX"
13600,"South Bend","IN",657906,39.2,1,0.107,0.264,0.067,0.06,0.071,0.385,36189,0.423,11.211,0.02,1862,6.498,-2.923,NA,0.021,0.077,0.649,0.247,0.015,0.017,0.04,0.065,0.424,0.001,0.231,0.106,0.552,-0.011,NA,"South Bend, IN"
24000,"Kenosha","WI",584474,40.5,1,0.059,0.177,0.051,0.05,0.052,0.384,39333,0.351,11.463,0.025,2515,6.816,-4.058,-0.012,0.01,0.042,0.688,0.276,0.026,0.019,0.043,0.653,0.53,0,0.212,0.1,0.566,-0.009,NA,"Kenosha, WI"
27501,"Des Moines","IA",595842,45.3,1,0.033,0.175,0.076,0.068,0.087,0.384,40108,0.391,13.556,0.026,2490,6.405,1.707,-0.006,0.017,0.09,0.722,0.092,0.019,0.015,0.051,1.595,0.483,0.001,0.182,0.098,0.564,-0.002,NA,"Des Moines, IA"
34001,"Hot Springs","AR",210357,40.1,1,0.137,0.176,0.03,0.032,0.024,0.384,31877,0.473,12.163,0.014,1323,4.738,-1.747,0.002,0.024,-0.017,0.564,0.199,0.013,0.011,0.027,-0.572,0.597,0.002,0.226,0.114,0.591,-0.008,NA,"Hot Springs, AR"
34703,"Kahului","HI",128241,42.2,1,0.004,0.119,0.03,0.024,0.031,0.384,39556,0.391,9.414,0.021,1559,6.563,NA,NA,0.008,-0.251,0.667,0.034,0.024,0.024,0.165,NA,0.445,0.001,0.199,0.109,0.52,-0.003,NA,"Kahului, HI"
20302,"Claremont","VT",265884,44.3,0,0.004,0.041,0.03,0.021,0.037,0.383,38571,0.404,11.609,0.037,1940,8.352,6.585,NA,0.011,0.22,0.68,0.143,0.02,0.017,0.033,1.026,0.332,0,0.193,0.11,0.557,0,NA,"Claremont, VT"
32900,"Killeen","TX",330714,40.5,1,0.193,0.091,0.059,0.052,0.064,0.383,28336,0.369,8.11,0.019,1742,5.49,3.108,-0.01,0.009,-0.135,0.673,0.092,0.05,0.052,0.068,-2.246,0.458,0.001,0.205,0.098,0.602,-0.002,NA,"Killeen, TX"
33802,"Chickasha","OK",75666,45.4,1,0.03,0.152,0.042,0.031,0.051,0.382,28080,0.393,7.397,0.012,1440,4.687,-1.913,-0.007,0.013,-0.041,0.581,0.139,0.032,0.026,0.016,-0.745,0.712,0.002,0.2,0.111,0.597,0.002,NA,"Chickasha, OK"
38901,"Eugene","OR",936387,40.5,1,0.007,0.094,0.058,0.055,0.062,0.381,34589,0.399,10.922,0.027,2431,6.184,-3.381,0.015,0.014,0.07,0.639,0.152,0.025,0.022,0.077,0.372,0.291,0.001,0.205,0.111,0.545,-0.008,NA,"Eugene, OR"
6302,"Cookeville","TN",98362,41.2,0,0.011,0.083,0.028,0.027,0.029,0.38,28510,0.455,11.752,0.017,1839,5.842,2.41,-0.027,0.02,0.191,0.604,0.256,0.016,0.015,0.025,-1.326,0.504,0.001,0.178,0.107,0.577,-0.009,NA,"Cookeville, TN"
9800,"Auburn","AL",150911,35.8,1,0.363,0.277,0.105,0.125,0.087,0.38,27283,0.526,12.003,0.014,2967,5.021,-14.15,-0.019,0.02,0.268,0.581,0.157,0.035,0.028,0.025,-2.13,0.311,0.002,0.304,0.083,0.445,0.001,NA,"Auburn, AL"
3203,"Vicksburg","MS",84943,35.3,0,0.563,0.239,0.065,0.065,0.072,0.379,27080,0.547,13.243,0.018,1874,4.492,-18.28,0.03,0.024,0.037,0.566,0.149,0.008,0.013,0.009,-0.662,0.46,0.004,0.371,0.091,0.457,-0.003,NA,"Vicksburg, MS"
15000,"Canton","OH",700866,41.8,1,0.043,0.198,0.054,0.049,0.058,0.378,35700,0.381,11.019,0.021,1768,5.563,12.753,NA,0.014,-0.039,0.642,0.259,0.013,0.013,0.015,0.977,0.493,0.001,0.187,0.101,0.584,-0.009,NA,"Canton, OH"
15500,"Steubenville","OH",132008,41,1,0.039,0.184,0.03,0.037,0.018,0.378,32010,0.35,9.312,0.02,1512,5.935,8.384,-0.009,0.023,0.196,0.546,0.216,0.011,0.012,0.013,0.893,0.448,0.001,0.211,0.098,0.571,-0.002,NA,"Steubenville, OH"
17200,"Harrisonburg","VA",174641,44.1,1,0.024,0.107,0.034,0.037,0.033,0.378,31025,0.409,11.826,0.018,1501,5.499,5.775,-0.006,0.017,0.381,0.641,0.217,0.016,0.011,0.041,-0.385,0.465,0.001,0.163,0.08,0.548,0.002,NA,"Harrisonburg, VA"
17700,"Syracuse","NY",1080612,42.3,1,0.056,0.253,0.086,0.088,0.08,0.378,35778,0.409,10.819,0.036,3044,8.59,1.814,-0.016,0.023,0.088,0.629,0.146,0.008,0.012,0.043,0.353,0.484,0.002,0.236,0.087,0.522,-0.004,NA,"Syracuse, NY"
25401,"Paducah","KY",138654,41.1,0,0.061,0.22,0.053,0.049,0.054,0.378,34572,0.487,16.296,0.014,1698,5.039,1.106,-0.006,0.022,0.029,0.591,0.145,0.009,0.009,0.008,0.592,0.677,0.001,0.21,0.114,0.604,-0.003,NA,"Paducah, KY"
30300,"Fayetteville","AR",384122,43,1,0.011,0.151,0.046,0.048,0.046,0.378,32612,0.545,20.44,0.015,1293,5.063,1.533,0.014,0.008,0.105,0.645,0.199,0.03,0.016,0.061,-0.967,0.512,0.001,0.168,0.103,0.617,-0.001,NA,"Fayetteville, AR"
37604,"Reno","NV",453825,41.4,1,0.018,0.097,0.099,0.081,0.115,0.378,41398,0.46,16.934,0.02,2437,6.015,-10.295,0,0.013,-0.106,0.67,0.086,0.042,0.027,0.125,-1.082,0.289,0.002,0.205,0.146,0.538,-0.008,NA,"Reno, NV"
16703,"Buckhannon","WV",40323,46.6,0,0.004,0.042,0.011,0.016,0.009,0.377,25062,0.404,7.553,0.014,1221,6.238,-10.275,-0.011,0.025,0.197,0.532,0.112,0.008,0.011,0.005,-0.141,0.312,0.001,0.181,0.101,0.577,0.006,NA,"Buckhannon, WV"
32802,"Corsicana","TX",100377,44.2,0,0.166,0.078,0.011,0.009,0.014,0.377,29976,0.418,7.452,0.03,1739,6.463,1.524,-0.012,0.01,-0.164,0.55,0.137,0.024,0.022,0.065,-1.163,0.61,0.002,0.21,0.095,0.598,0.004,NA,"Corsicana, TX"
5402,"Glasgow","KY",92394,42.4,0,0.037,0.071,0.02,0.014,0.022,0.376,27831,0.439,12.307,0.012,1390,5.62,-1.207,-0.006,NA,NA,0.586,0.282,0.009,0.009,0.008,-0.792,0.497,0.001,0.185,0.108,0.614,-0.005,NA,"Glasgow, KY"
11900,"Saginaw","MI",540707,40.9,1,0.077,0.325,0.056,0.053,0.057,0.376,36938,0.398,8.79,0.026,2118,6.193,-1.907,NA,0.007,-0.092,0.613,0.221,0.011,0.012,0.019,0.544,0.504,0.001,0.228,0.095,0.573,-0.011,NA,"Saginaw, MI"
1001,"Boone","NC",77361,40,0,0.022,0.076,0.031,0.028,0.031,0.375,25953,0.487,14.276,0.022,1348,5.264,9.978,0.013,0.026,0.236,0.589,0.11,0.014,0.017,0.018,0.012,0.488,0.002,0.167,0.09,0.527,0.002,NA,"Boone, NC"
1900,"Jacksonville","NC",536909,37.2,1,0.256,0.136,0.049,0.048,0.048,0.375,29500,0.464,11.594,0.017,2523,5.023,0.758,0.024,0.013,0.021,0.654,0.126,0.033,0.039,0.034,-1.926,0.342,0.002,0.243,0.084,0.544,-0.004,NA,"Jacksonville, NC"
5401,"Bowling Green","KY",164944,40.4,1,0.072,0.123,0.05,0.044,0.056,0.375,31026,0.454,12.093,0.013,1675,5.925,3.097,-0.008,0.012,0.04,0.648,0.245,0.015,0.013,0.027,-0.747,0.528,0.001,0.203,0.105,0.574,-0.008,NA,"Bowling Green, KY"
25105,"Batesville","AR",64601,44.1,0,0.015,0.054,0.019,0.013,0.029,0.375,29503,0.371,6.777,0.017,1433,4.942,5.831,0.001,0.046,0.008,0.539,0.239,0.013,0.015,0.01,0.094,0.626,0.001,0.166,0.11,0.63,-0.004,NA,"Batesville, AR"
16400,"Youngstown","OH",809682,41.3,1,0.086,0.338,0.06,0.06,0.059,0.374,34808,0.387,10.241,0.019,1645,6.079,6.568,-0.016,0.025,0.011,0.589,0.226,0.008,0.011,0.019,0.906,0.549,0.001,0.231,0.101,0.554,-0.01,NA,"Youngstown, OH"
13103,"Bardstown","KY",66605,44.1,0,0.068,0.092,0.022,0.022,0.017,0.373,30726,0.395,12.494,0.011,1284,6.317,-1.755,-0.002,0.015,-0.105,0.628,0.291,0.021,0.016,0.011,0.475,0.768,0.001,0.202,0.101,0.568,-0.006,NA,"Bardstown, KY"
17501,"Cumberland","MD",155822,43.7,1,0.033,0.149,0.024,0.026,0.021,0.373,29147,0.425,13.041,0.018,1840,6.553,-2.043,-0.006,0.032,-0.059,0.566,0.168,0.008,0.007,0.009,0.038,0.491,0.002,0.187,0.085,0.6,0,NA,"Cumberland, MD"
4602,"Somerset","KY",123981,39.1,0,0.008,0.047,0.021,0.016,0.024,0.372,24892,0.466,11.635,0.012,1271,5.814,-2.443,0.01,0.008,-0.028,0.529,0.248,0.006,0.006,0.008,-1.14,0.538,0.001,0.191,0.107,0.612,-0.004,NA,"Somerset, KY"
5100,"Corinth","MS",129508,39,0,0.079,0.128,0.013,0.016,0.01,0.372,28904,0.426,12.3,0.013,2222,4.329,-1.45,-0.016,0.008,-0.159,0.574,0.336,0.011,0.009,0.008,-0.766,0.618,0.001,0.195,0.113,0.599,-0.015,NA,"Corinth, MS"
33902,"Sherman","TX",178371,41.6,1,0.053,0.122,0.035,0.033,0.036,0.372,32930,0.412,8.671,0.02,1840,5.715,8.063,-0.01,0.017,0,0.597,0.18,0.025,0.022,0.032,-0.678,0.641,0.001,0.202,0.114,0.584,-0.007,NA,"Sherman, TX"
37000,"Modesto","CA",729182,42.4,1,0.027,0.121,0.051,0.043,0.056,0.372,31666,0.464,12.051,0.019,3836,5.838,-18.956,NA,0.007,-0.099,0.596,0.134,0.034,0.027,0.187,-1.574,0.446,0.005,0.204,0.101,0.561,-0.006,NA,"Modesto, CA"
30100,"Fort Smith","AR",332832,42.6,1,0.034,0.129,0.037,0.03,0.041,0.371,29347,0.441,10.514,0.014,1414,4.869,-2.179,0.004,0.009,-0.127,0.589,0.222,0.01,0.011,0.036,-0.835,0.619,0.002,0.202,0.119,0.602,-0.001,NA,"Fort Smith, AR"
34802,"Santa Fe","NM",218804,40.1,1,0.004,0.201,0.089,0.066,0.116,0.371,38838,0.49,11.007,0.013,2090,5.527,-16.69,0.012,0.032,-0.182,0.653,0.035,0.02,0.024,0.078,0.311,0.576,0.002,0.236,0.134,0.519,0.009,NA,"Santa Fe, NM"
5700,"Tullahoma","TN",130610,39.2,0,0.055,0.093,0.017,0.018,0.015,0.37,32903,0.423,10.603,0.016,1834,4.669,-2.54,-0.012,0.015,-0.032,0.627,0.277,0.017,0.015,0.032,-0.715,0.523,0.001,0.196,0.103,0.608,-0.013,NA,"Tullahoma, TN"
34702,"Kapaa","HI",58463,43.6,0,0.003,0.064,0.013,0.011,0.014,0.37,38210,0.351,5.7,0.021,1405,6.563,NA,NA,0.017,-0.244,0.631,0.024,0.017,0.006,0.13,NA,0.523,0.002,0.207,0.098,0.546,-0.008,NA,"Kapaa, HI"
3201,"Jena","LA",25202,48.6,0,0.185,0.145,0.007,0.006,0.008,0.369,24857,0.389,5.903,0.016,2134,4.508,1.447,0.014,NA,NA,0.495,0.082,0.011,0.015,0.005,0.244,0.698,0.006,0.191,0.08,0.6,0.006,NA,"Jena, LA"
3700,"Lake Charles","LA",335960,42.6,1,0.205,0.239,0.047,0.044,0.051,0.369,29462,0.442,10.245,0.026,1823,4.854,-1.394,0.014,0.018,-0.005,0.59,0.125,0.018,0.023,0.016,-1.312,0.6,0.002,0.225,0.098,0.572,0.005,NA,"Lake Charles, LA"
30403,"Okmulgee","OK",51499,42.1,1,0.102,0.074,0.024,0.02,0.025,0.369,26343,0.392,7.645,0.012,1357,4.683,-4.907,-0.009,0.019,-0.055,0.554,0.156,0.028,0.03,0.009,-0.717,0.56,0.002,0.224,0.113,0.575,0,NA,"Okmulgee, OK"
24600,"Farmington","MO",137456,42.1,0,0.015,0.104,0.023,0.024,0.022,0.368,27773,0.384,10.866,0.012,1358,4.863,0.327,-0.004,0.007,-0.039,0.572,0.204,0.017,0.012,0.008,-0.126,0.56,0.001,0.19,0.105,0.59,-0.001,NA,"Farmington, MO"
6301,"McMinnville","TN",84309,39.3,0,0.022,0.064,0.011,0.01,0.009,0.367,29411,0.426,11.163,0.014,1879,4.085,-1.519,-0.015,NA,NA,0.614,0.318,0.014,0.015,0.024,-1.412,0.541,0.003,0.198,0.123,0.605,-0.017,NA,"McMinnville, TN"
24802,"Springfield","IL",267992,41.3,1,0.078,0.23,0.087,0.077,0.097,0.367,40182,0.429,17.164,0.019,2261,5.01,0.902,-0.015,0.015,-0.042,0.668,0.065,0.015,0.016,0.017,1.834,0.566,0.002,0.228,0.118,0.556,-0.006,NA,"Springfield, IL"
4901,"Jackson","TN",198166,37.3,1,0.274,0.223,0.065,0.062,0.066,0.366,31754,0.474,12.857,0.02,3444,4.965,-8.155,-0.009,0.025,-0.02,0.614,0.259,0.016,0.015,0.017,-0.251,0.57,0.003,0.269,0.113,0.54,-0.012,NA,"Jackson, TN"
14700,"Evansville","IN",388604,43.6,1,0.041,0.21,0.07,0.061,0.078,0.366,36908,0.402,13.881,0.021,2022,6.535,0.957,0.014,0.018,-0.039,0.667,0.225,0.007,0.007,0.013,1.29,0.509,0.003,0.188,0.11,0.585,-0.005,NA,"Evansville, IN"
20200,"Burlington","VT",321496,43.8,1,0.006,0.044,0.062,0.058,0.067,0.366,37131,0.405,11.589,0.03,1866,9.101,6.641,NA,0.016,0.239,0.706,0.161,0.012,0.013,0.044,0.451,0.422,0.001,0.182,0.1,0.542,0.004,NA,"Burlington, VT"
3001,"Kosciusko","MS",41270,37.3,0,0.598,0.135,0.027,0.034,0.021,0.365,24121,0.539,18.373,0.016,1748,4.336,-13.492,-0.025,0.048,-0.022,0.507,0.231,0.013,0.017,0.005,-0.856,0.423,0.002,0.394,0.083,0.461,-0.015,NA,"Kosciusko, MS"
23100,"Madison","WI",590755,44.5,1,0.03,0.14,0.09,0.095,0.083,0.365,40576,0.381,13.799,0.029,2839,7.953,3.277,NA,0.01,0.022,0.733,0.132,0.027,0.026,0.049,1.86,0.546,0,0.175,0.091,0.536,0.001,NA,"Madison, WI"
25104,"Heber Springs","AR",51737,44.7,0,0.002,0.014,0.013,0.012,0.01,0.364,32635,0.404,8.657,0.011,952,4.875,6.815,0.021,NA,NA,0.51,0.203,0.019,0.016,0.011,-0.446,0.488,0.001,0.167,0.104,0.657,-0.014,NA,"Heber Springs, AR"
34102,"Anchorage","AK",369296,45.5,1,0.041,0.082,0.082,0.073,0.092,0.364,41724,0.35,8.657,0.02,3857,8.706,-5.599,0.044,0.008,-0.2,0.715,0.024,0.029,0.029,0.065,NA,0.344,0.002,0.2,0.125,0.552,0.002,NA,"Anchorage, AK"
17900,"Union","NY",294558,43.7,1,0.023,0.12,0.063,0.065,0.063,0.363,35192,0.39,8.997,0.031,2370,8.034,7.263,-0.015,0.01,0.182,0.615,0.189,0.014,0.015,0.04,0.505,0.493,0.001,0.209,0.094,0.538,-0.003,NA,"Union, NY"
