"name","public","tier","test_band_tier","par_income_lab","rel_attend_sat","rel_attend","par_top1pc","par_q1","par_q2","par_q3","par_q4","par_q5","par_median"
"University Of Alabama","Public","Selective public","Flagship","Top 1",2.740922,3.0278938,0.057490055,0.041422945,0.06953799,0.10948061,0.19173566,0.58782279,130200
"University Of Arkansas","Public","Selective public","Flagship","Top 1",1.571272,1.7733254,0.032329634,0.041298572,0.078784361,0.13670491,0.21389261,0.52931947,116300
"University Of California, Berkeley","Public","Highly selective public","Flagship","Top 1",0.74169397,2.63204,0.037870124,0.07257542,0.095835909,0.12830518,0.16593979,0.53734368,119900
"University Of California, Davis","Public","Selective public","Other Top 100 Public","Top 1",0.47533798,0.91171885,0.024032984,0.090102389,0.12306285,0.16331029,0.1755344,0.44799009,95400
"University Of California, Irvine","Public","Highly selective public","Other Top 100 Public","Top 1",0.23283279,0.41966546,0.012870234,0.086560249,0.10470904,0.15112844,0.21185458,0.44574773,98500
"University Of California, Los Angeles","Public","Other elite schools (public and private)","Flagship","Top 1",0.83420789,2.2465587,0.041450813,0.083149694,0.10883783,0.14285767,0.18127398,0.48388088,104900
"University Of California, Riverside","Public","Selective public","Other Top 100 Public","Top 1",0.35414931,0.41695097,0.0093415193,0.10553152,0.16130698,0.21311182,0.21889286,0.30115682,68700
"University Of California, San Diego","Public","Highly selective public","Other Top 100 Public","Top 1",0.43518388,1.0545274,0.017707611,0.11279409,0.15424311,0.16279432,0.17510691,0.39506161,82000
"University Of California, Santa Barbara","Public","Highly selective public","Other Top 100 Public","Top 1",0.84037644,1.7154119,0.034380272,0.075768396,0.1091106,0.14625715,0.18665391,0.48220992,105800
"University Of California, Santa Cruz","Public","Selective public","Other Top 100 Public","Top 1",0.56768817,0.88636899,0.022140671,0.072095416,0.10692526,0.15011276,0.19563325,0.47523341,105200
"University Of Chicago","Private","Ivy Plus","Ivy Plus","Top 1",1.5023307,7.6501842,0.09972138,0.055388927,0.064828023,0.12499616,0.17885,0.57593697,134500
"University Of Connecticut","Public","Highly selective public","Flagship","Top 1",0.6627512,1.033317,0.020897029,0.03670517,0.067087188,0.12744942,0.21481995,0.55393827,119700
"University Of Delaware","Public","Selective public","Flagship","Top 1",1.4756664,2.146127,0.040943705,0.018206267,0.035821952,0.084490143,0.18101926,0.68046248,147300
"University Of Florida","Public","Highly selective public","Flagship","Top 1",0.92916292,1.699909,0.032045525,0.060401224,0.099812917,0.14100888,0.21590559,0.48287144,106700
"University Of Georgia","Public","Highly selective public","Flagship","Top 1",1.4647925,2.4997697,0.050839324,0.038002852,0.070497975,0.10658097,0.19439165,0.59052658,129800
"University Of Idaho","Public","Selective public","Flagship","Top 1",0.7139942,0.45741093,0.0081677046,0.05086194,0.096948199,0.17154908,0.28466249,0.39597833,94200
